,Var,F-Score,P-Value
0,addresscat_2,6.524146049360248,0.011
1,addresscat_3,6.70884799980983,0.010
2,addresscat_4,14.336699501951772,0.000
3,addresscat_5,0.07961075530715202,0.778
4,age,0.0268491310258464,0.870
5,bfast_2,7.386259889063355,0.007
6,bfast_3,9.618941126452917,0.002
7,carbought_0,0.6543243029959522,0.419
8,carbought_1,0.0016320474888780899,0.968
9,carcatvalue_1,428.6071217537049,0.000
10,carcatvalue_2,40.06955310757419,0.000
11,carcatvalue_3,355.7336224542042,0.000
12,card2_2,27.591805210891465,0.000
13,card2_3,37.130383396631146,0.000
14,card2_4,15.63242137909489,0.000
15,card2_5,12.229163070174934,0.000
16,card2benefit_2,0.8416120979913486,0.359
17,card2benefit_3,5.911064028113374,0.015
18,card2benefit_4,1.3181162679299843,0.251
19,card2tenurecat_2,8.231763820650203,0.004
20,card2tenurecat_3,0.061214144438759784,0.805
21,card2tenurecat_4,4.98028886440268,0.026
22,card2tenurecat_5,6.066474482885495,0.014
23,card2type_2,0.4308687274283726,0.512
24,card2type_3,0.01309808989781672,0.909
25,card2type_4,0.1219951867730189,0.727
26,card_2,71.74096690521793,0.000
27,card_3,57.943506029434346,0.000
28,card_4,26.613209492115192,0.000
29,card_5,9.117971878706275,0.003
30,cardbenefit_2,0.12128383570586496,0.728
31,cardbenefit_3,1.525561848590922,0.217
32,cardbenefit_4,0.09505400810802936,0.758
33,cardmon,1.1446701221477487,0.285
34,cardten,3.497256423970112,0.062
35,cardtenurecat_2,3.0361980332283545,0.081
36,cardtenurecat_3,5.117121878220083,0.024
37,cardtenurecat_4,4.455412160895651,0.035
38,cardtenurecat_5,12.038935545362449,0.001
39,cardtype_2,0.008409527930027165,0.927
40,cardtype_3,2.082025823362598e-05,0.996
41,cardtype_4,5.227111333956275e-05,0.994
42,carown_0,136.92758686223095,0.000
43,carown_1,78.39772652363898,0.000
44,cars_1,6.660695943509112,0.010
45,cars_2,0.4022675291512594,0.526
46,cars_3,0.00046176761880323584,0.983
47,cars_4,1.2355527418260877,0.266
48,cars_5,0.3839928813920217,0.536
49,cars_6,0.6421893190687324,0.423
50,cartype_0,2.777107046754935,0.096
51,cartype_1,0.8193933111421848,0.365
52,carvalue,511.60999864043976,0.000
53,commutecat_2,0.8131639153991126,0.367
54,commutecat_3,2.1070558269060466,0.147
55,commutecat_4,0.18678695564690642,0.666
56,commutecat_5,0.9917069674314316,0.319
57,commutetime,0.18723467170735558,0.665
58,creddebt,285.6097556569319,0.000
59,debtinc,1.4738428562641024,0.225
60,ed,47.48455210825864,0.000
61,empcat_2,1.8133480345196376,0.178
62,empcat_3,0.18014407952203781,0.671
63,empcat_4,7.327211409196338,0.007
64,empcat_5,17.87716225202322,0.000
65,equipmon,24.37036266929504,0.000
66,equipten,32.5584260175366,0.000
67,gender_1,30.87184985451054,0.000
68,hometype_2,19.81236212235124,0.000
69,hometype_3,4.1333905203029975,0.042
70,hometype_4,0.43780975527989463,0.508
71,hourstv,11.315869815167646,0.001
72,inccat_2,17.510191286717802,0.000
73,inccat_3,58.39989907012303,0.000
74,inccat_4,152.84680350981623,0.000
75,inccat_5,257.4366418958972,0.000
76,income,710.6054262133656,0.000
77,internet_1,0.8168846706157004,0.366
78,internet_2,0.20113525003271762,0.654
79,internet_3,9.874451462885121,0.002
80,internet_4,15.938197887467545,0.000
81,jobsat_2,0.02159868999838299,0.883
82,jobsat_3,1.4474178100299724,0.229
83,jobsat_4,4.513981858252743,0.034
84,jobsat_5,8.769761747127587,0.003
85,longmon,6.470977085517974,0.011
86,longten,6.276095213537061,0.012
87,othdebt,357.16037156098076,0.000
88,pets,0.19998151729277802,0.655
89,pets_birds,1.2300227392193859,0.267
90,pets_cats,0.0003708657231463015,0.985
91,pets_dogs,0.2924972968325747,0.589
92,pets_freshfish,0.3359528308915711,0.562
93,pets_reptiles,2.1185996948129433,0.146
94,pets_saltfish,0.0792551321739651,0.778
95,pets_small,0.05139263095738923,0.821
96,polview_2,0.7410233061224951,0.389
97,polview_3,1.7761399605669643,0.183
98,polview_4,2.052879338674202,0.152
99,polview_5,0.06769073760189592,0.795
100,polview_6,5.892297112626668,0.015
101,polview_7,0.8200927725983993,0.365
102,reason_2,108.66169740584735,0.000
103,reason_3,2.7591765320576855,0.097
104,reason_4,9.693043613213874,0.002
105,reason_9,1.691161397474324,0.194
106,region_2,0.009673938614759604,0.922
107,region_3,0.014169234670367332,0.905
108,region_4,0.3248406335631538,0.569
109,region_5,3.9381712114883656,0.047
110,reside,0.19327011011748987,0.660
111,spoused,4.765434585837762,0.029
112,tenure,12.854928543136989,0.000
113,tollmon,27.370201465802584,0.000
114,tollten,35.989638939000415,0.000
115,townsize_2.0,0.31615460543137835,0.574
116,townsize_3.0,0.04073118329142242,0.840
117,townsize_4.0,0.01604849589843147,0.899
118,townsize_5.0,0.2635494952054822,0.608
119,wiremon,38.83587467557713,0.000
120,wireten,48.1566555663417,0.000
